date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:12:06	144715/144715	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f9fca37-2354b%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.svg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400.svg	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:07	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-5b31bf3520bde%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.eot	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:07	80240/80240	---M--	200	added ('OK')	font/woff2	etag:%225f9fca37-13970%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.woff2	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900.woff2	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:07	104284/104284	---M--	200	added ('OK')	font/woff	etag:%225f9fca37-1975c%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.woff	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900.woff	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	204528/204528	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225f9fca37-31ef0%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.ttf	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900.ttf	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	917576/917576	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f9fca37-e0048%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.svg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900.svg	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-5b31bf3520bde%22	https://html.merku.love/shelly/assets/webfonts/fa-solid-900.eot?	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-solid-900d41d.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b31bf351fc3e%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.eot	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b31bf351fc3e%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.eot?	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400d41d.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:08	78632/78632	---M--	200	added ('OK')	font/woff2	etag:%225f9fca37-13328%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.woff2	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400.woff2	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:09	92216/92216	---M--	200	added ('OK')	font/woff	etag:%225f9fca37-16838%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.woff	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400.woff	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:09	136576/136576	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225f9fca37-21580%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.ttf	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400.ttf	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:09	747141/747141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f9fca37-b6685%22	https://html.merku.love/shelly/assets/webfonts/fa-brands-400.svg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-brands-400.svg	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:09	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:08%20GMT	https://html.merku.love/shelly/assets/images/resources/bg1.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/images/resources/bg1.jpg	(from https://html.merku.love/shelly/assets/css/main.min.css)
